,City,City ID,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dong Hoi,1582886,17.48,81.62,75,63,5.12
1,Scottsbluff,5699404,41.87,73.4,50,1,11.41
2,Leningradskiy,2123814,69.38,48.86,66,60,7.18
3,Rikitea,4030556,-23.12,70.28,92,100,26.33
4,Puerto Ayora,3652764,-0.74,77.0,69,75,16.11
5,Cascas,3698705,-7.48,64.4,45,20,13.87
6,Norman Wells,6089245,65.28,53.6,71,75,12.75
7,Capinopolis,3467263,-18.68,76.22,31,0,7.78
8,Punta Arenas,3874787,-53.16,39.2,93,90,6.93
9,Cherskiy,2126199,68.75,62.9,52,82,6.91
10,Busselton,2075265,-33.64,52.0,72,40,14.5
11,Owando,2255542,-0.49,87.02,48,89,3.44
12,Bredasdorp,1015776,-34.53,68.0,56,67,14.99
13,Log,3197147,46.0,77.0,68,100,9.17
14,Faya,110690,18.39,80.6,73,40,11.41
15,Mattru,2409215,7.62,74.96,94,100,7.14
16,Albany,5106834,42.65,80.01,44,20,5.82
17,Severnoye,496381,54.09,65.06,84,80,5.97
18,Esperance,2071860,-33.86,46.4,93,0,8.05
19,Dikson,1507390,73.51,32.48,96,100,16.13
20,Castro,3896218,-42.48,50.0,93,90,10.29
21,Ponta do Sol,3453439,-20.63,63.44,55,0,7.78
22,Isangel,2136825,-19.55,62.6,93,40,4.7
23,Jamestown,2069194,-33.21,45.26,92,0,3.29
24,Mahebourg,934322,-20.41,73.4,88,40,7.14
25,Carnarvon,1014034,-30.97,61.1,44,0,9.98
26,Souillac,3026644,45.6,91.0,31,0,11.41
27,Richards Bay,962367,-28.77,69.38,75,0,17.34
28,Mar del Plata,3863379,-46.43,45.08,64,34,10.4
29,Bluff,2175403,-23.58,57.86,85,30,4.14
30,Erdenet,2031405,49.03,60.2,71,0,2.89
31,Cape Town,3369157,-33.93,63.0,77,75,13.87
32,Kodiak,4407665,39.95,84.0,39,1,6.93
33,Airai,1651810,-8.93,67.76,86,0,3.71
34,Acapulco,3533462,16.86,84.2,79,5,3.36
35,Yellowknife,6185377,62.45,46.4,81,75,12.75
36,Hobart,2163355,-42.88,48.2,61,20,16.11
37,Houma,1784874,35.63,68.48,75,100,8.3
38,Mayo,6068416,63.59,59.0,58,75,3.36
39,Qaanaaq,3831208,77.48,37.34,96,100,1.79
40,Vaiano,6541787,43.97,89.6,49,40,13.87
41,Soure,2733851,40.06,79.0,68,40,12.75
42,Vladimiro-Aleksandrovskoye,2013362,42.89,56.42,95,14,0.74
43,Mataura,6201424,-46.19,46.0,93,100,15.01
44,Sobolevo,525426,54.43,60.92,83,4,10.69
45,Natal,3394023,-5.81,84.2,62,40,17.22
46,Pevek,2122090,69.7,44.36,70,40,1.3
47,Yar-Sale,1486321,66.83,57.32,50,53,15.08
48,Palmer,2067070,-34.85,50.0,93,20,6.93
49,Revelstoke,6121621,50.99,57.2,87,90,0.11
50,Lagoa,2267254,37.14,75.0,73,20,19.46
51,Vaini,1273574,15.34,78.56,86,88,9.17
